mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
7	6	37/2	37/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	36
8	7	19	19	1.0	0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	44
8	7	19	19	1.5	0	0	3/4	1	1	3/8	1/4	3/2		1	67	G4	4	40
8	7	19	19	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-3	75	Eb5	5	40
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	45
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	45
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	45
8	7	41/2	41/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	41
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	46
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	46
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	46
8	7	21	21	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	42
8	7	43/2	43/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	43
9	8	22	22	1.0	0	0	3/4	2	1	1/4	1/4	1		-4	44	Ab2	2	48
9	8	22	22	1.0	0	0	3/4	1	1	1/4	1/4	1		-4	68	Ab4	4	47
9	8	23	23	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	49
9	8	23	23	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	49
10	8	24	24	1.0	0	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	50
11	9	25	25	1.0	0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	54
11	9	25	25	1.0	0	0	3/4	1	1	1/4	1/4	1		-1	77	F5	5	51
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	55
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	55
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	F4	4	55
11	9	26	26	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	52
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	56
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	56
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	F4	4	56
11	9	27	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	53
12	10	28	28	1.0	0	0	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	61
12	10	28	28	1.0	0	0	3/4	1	1	1/4	1/4	1		-3	75	Eb5	5	57
12	10	28	28	1.0	0	0	3/4	1	1	1/4	1/4	1		-6	78	Gb5	5	57
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	62
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	F4	4	62
12	10	29	29	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	58
12	10	29	29	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	77	F5	5	58
12	10	59/2	59/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	59
12	10	59/2	59/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	59
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	63
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	F4	4	63
12	10	30	30	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	60
12	10	30	30	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	60
13	11	31	31	1.0	0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	67
13	11	31	31	1.0	0	0	3/4	1	1	1/4	1/4	1		-3	75	Eb5	5	64
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	68
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	68
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	68
13	11	32	32	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	65
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	69
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	69
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	69
13	11	33	33	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	66
14	12	34	34	1.0	0	0	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	74
14	12	34	34	1.0	0	0	3/4	1	1	1/4	1/4	1		-5	73	Db5	5	70
14	12	34	34	1.0	0	0	3/4	1	1	1/4	1/4	1		-1	77	F5	5	70
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	75
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	75
14	12	35	35	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	71
14	12	35	35	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	71
14	12	71/2	71/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	72
14	12	71/2	71/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	72
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	76
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	76
14	12	36	36	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-4	68	Ab4	4	73
