piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	Deutsch	dance	goldenberg_id	harmony_review	comments	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
D365walzer06	1: 3/4	1: -4	18	16	48.0	36	32	96.0	152.0	164	64	0	0	23	Ab		MN	JH	1820	1820	Franz Schubert	36 Erste Walzer op. 9 D 365	6	Menuett Nr. 1	op. 9					2019-08-01	3.02	Linux			Walzer Nr. 6	D 365	Franz Schubert	3.6.2	2.5.3	MS3	MS3/D365walzer06.mscx	False	44-84 (Ab2-C6)	365	walzer	155.0	2.3.0			Piano	67-84 (G4-C6)	Piano	44-65 (Ab2-F4)
D783deutscher10	1: 3/4	1: 0	26	24	72.0	52	48	144.0	266.0	272	89	0	0	28	a	2.3.0	MN	JH			Franz Schubert	16 Deutsche Tänze op. 33 D 783	10		op. 33					2019-08-09	3.02	Linux						3.6.2	2.5.3	MS3	MS3/D783deutscher10.mscx	False	34-81 (Bb1-A5)	783	deutscher	347.0		The reviewed version is the result of a workshop led by JH & MN in Würzburg. The participants' annotations are joint as a synopsis.	xml	Instrument 1	62-81 (D4-A5)	Instrument 1	34-68 (Bb1-G#4)
D790ländler04	1: 3/4	1: 2	18	16	48.0	36	32	96.0	179.5	190	72	0	0	24	D	2.3.0	JH	DK	1823	1823	Franz Schubert	12 Ländler (Deutsche Tänze genannt) op. post. 171 D 790	4		op. post. 171					2019-08-09	3.02	Linux						3.6.2	2.5.3	MS3	MS3/D790ländler04.mscx	False	42-83 (F#2-B5)	790	ländler	358.0			xml	Midi_1	61-83 (C#4-B5)	Midi_1	42-71 (F#2-B4)
